titulo,titulo_original,isbn,segmento_especifico,idioma,encadernacao,formato,paginas,colecao,ano_de_edicao,ano_copyright,edicao,coeditora,outras_informacoes,autores,editora,categoria,sinopse,link
A poesia pede a palavra,NA,9788583820833,NA,Português,Brochura,"14 x 21 x 0,4",56,NA,2019,NA,1ª,NA,NA,"Lalau, Laurabeatriz",Escarlate,Infantil,"Palavras miúdas e simples, como Até, Igual, Talvez, Quem e Se são o ponto de partida para uma obra poética cheia de rimas e metáforas. Da dupla Lalau e Laurabeatriz, que já assinaram 50 livros juntos, todos os 24 poemas do livro falam das coisas simples, bonitas, profundas e complexas da vida. Do vaga-lume que brilha, sozinho, numa noite cheia de estrelas, à constatação ética e poética de que eu, tu, ele, nós, vós e eles somos iguais, afinal de contas. O humor também aparece – se há mais mistério entre o céu e o telescópio, o que há entre o olhar e o caleidoscópio? E, como poesia boa deixa sempre aquele ponto de interrogação dentro da gente, aqui, a certeza fica em dúvida e nasce então um talvez!",https://www.travessa.com.br/a-poesia-pede-a-palavra-1-ed-2019/artigo/86a5e754-bf56-49cb-a7cb-d217e957188d
A princesa que ria rosas e outros contos hungaros,NA,9788574924236,NA,Português,Brochura,"16,3 x 23,8 x 0,5",80,NA,2018,NA,1ª,NA,NA,Susana Ventura,Volta e Meia,Infantil,"Os contos apresentados neste volume foram selecionados das obras de folcloristas e escritores húngaros do século XIX, que coletaram e fixaram um conjunto expressivo de histórias que nos surpreendem pela originalidade. Várias são as fórmulas com as quais se iniciam os contos húngaros e que evocam lugares imaginários e distantes como ‘os sete reinos'', o ‘mar de todas as histórias'' e ‘a montanha de cristal'' e também apelam para antiguidade da história em questão, encontrada escrita num ‘num velho livro, perdido e achado na trigésima sexta prega de uma saia de pregas de uma velha muito velha que guardava todos os velhos livros de uma aldeia''.",https://www.travessa.com.br/a-princesa-que-ria-rosas-e-outros-contos-hungaros-1-ed-2018/artigo/a9082a66-cab4-4d2b-84cc-4be36e1318d5
Abcdelas,NA,9788574068541,NA,Português,Brochura,"21 x 27 x 0,5",64,NA,2019,2019,1ª,NA,NA,Janaina Tokitaka,Companhia das Letrinhas,Infantil,"Conheça a vida de mulheres pioneiras em diferentes profissões neste livro ilustrado e empoderador.Este é um livro abecedário muito diferente. A cada letra, o leitor vai conhecer histórias raras e valiosas de mulheres que revolucionaram seus campos de atuação. Foram essas heroínas do dia a dia que contribuíram para que as mulheres de hoje pudessem trabalhar em diferentes áreas, mesmo em profissões que um dia foram consideradas “masculinas”.Cada história biográfica é apresentada na forma de um pequeno conto muito bem-humorado acompanhado de lindas ilustrações que homenageiam as mulheres retratadas. O leitor será convidado a descobrir a história da aviadora brasileira Anésia Pinheiro Machado, da bióloga inglesa Margaret Elizabeth Fountaine, da chef de cozinha francesa Eugénie Brazier e de tantas outras profissionais incríveis.",https://www.travessa.com.br/abcdelas-1-ed-2019/artigo/b2892b2b-add9-4ed1-8018-2d85acb23f42
Aimo: uma viagem pelo mundo dos orixas,NA,9788555340406,NA,Português,Brochura,"15,7 x 22,5",198,NA,2017,2017,1ª,NA,NA,Reginaldo Prandi,Seguinte,Juvenil,"Imagine se encontrar, de uma hora para a outra, em um mundo totalmente desconhecido onde você não conhece ninguém e ninguém demonstra saber quem você é. É o que acontece com uma menina nascida na África e levada para o Brasil para ser escrava, e que de repente acorda em um lugar estranho, habitado pelos deuses orixás e pelos espíritos dos mortos que aguardam o momento de seu renascimento. Ela não sabe mais o próprio nome nem lembra de sua família — está sozinha e não tem a quem pedir socorro. Por isso, aliás, ganha o nome Aimó, “a menina que ninguém sabe quem é”.Tudo o que ela quer é retornar ao seu mundo de origem, mas para tornar isso possível, Aimó vai partir em uma longa jornada através dos tempos mitológicos, guiada por Exu e Ifá, e vai acompanhar de perto muitas aventuras vividas pelos orixás. Só assim poderá reunir o conhecimento necessário para fazer uma escolha que lhe permita, enfim, voltar para casa.",https://www.travessa.com.br/aimo-uma-viagem-pelo-mundo-dos-orixas-1-ed-2017/artigo/4fcdde6e-0af5-4120-9c65-e90f48829999
Antes depois,Avant après,9788566594294,NA,Português,Capa dura,"17,5 x 25",172,NA,2015,2015,1ª,NA,NA,"Anne-Margot Ramstein, Matthias Aregui",Livros da Raposa Vermelha,Infantil,"Nenhuma palavra é necessária neste livro artístico e bem humorado, em que cada página oferece uma surpresa. Com ilustrações gráficas simples que atrairão até mesmo crianças menores, essa bela reflexão sobre a passagem do tempo também agradará aos adultos. Antes Depois retrata o tempo e sua elasticidade, a evolução, o progresso e também a regressão. Páginas duplas apresentam alguns “antes-depois” quase instantâneos e outros mais distantes. Dois estados da mesma realidade são propostos para objetos, acontecimentos, espaços ou seres vivos separados pelo tempo. O leitor completa com sua imaginação e com palavras o que as imagens sugerem. Nesse sentido o próprio leitor é o autor do texto, ele escreve mentalmente uma das histórias possíveis.",https://www.travessa.com.br/antes-depois-1-ed-2015/artigo/47b54172-b5d3-4efc-8665-5f0ac77fcb31
As cientistas: 50 mulheres que mudaram o mundo,Women in science : 50 fearless pioneers who changed the world,9788521211723,NA,Português,Brochura,"19,7 x 23,8",128,NA,2017,2017,1ª,NA,NA,Rachel Ignotofsky,Blucher,Ciência,"Recheado de ilustrações encantadoras, As cientistas destaca as contribuições de cinquenta mulheres notáveis para os campos da ciência, da tecnologia, da engenharia e da matemática, desde o mundo antigo até o contemporâneo, além de trazer infográficos sobre equipamentos de laboratório, taxas de mulheres que trabalham atualmente em campos da ciência e um glossário científico ilustrado.Entre as perfiladas, estão figuras bem conhecidas, como a primatologista Jane Goodall e a química Marie Curie, e outras nem tanto, como Katherine Johnson, física e matemática afro-americana que calculou a trajetória da missão Apolo 11 de 1969 à lua.As cientistas celebra as realizações das mulheres intrépidas que abriram o caminho para a próxima geração de engenheiras, biólogas, matemáticas, médicas, astronautas, físicas e muito mais!",https://www.travessa.com.br/as-cientistas-50-mulheres-que-mudaram-o-mundo-1-ed-2017/artigo/ca39a9c6-8a38-4ca2-9dd4-3f38f2de35c8
As cronicas de narnia (volume unico),The complete chronicles of narnia,9788578270698,NA,Português,Brochura,15 x 23,751,NA,2005,1950,1ª,NA,NA,C. S. Lewis,Martins Fontes - WMF,Juvenil,"Viagens ao fim do mundo, criaturas fantásticas e batalhas épicas ente o bem e o mal - o que mais um leitor poderia querer de um livro? O livro que tem tudo isso é O leão, a feiticeira e o guarda-roupa, escrito em 1949 por Clive Staples Lewis. Mas Lewis não parou por aí, Seis outros livros vieram depois e, juntos, ficaram conhecidos como As crônicas de Nárnia. Nos últimos cinqüenta anos, As crônicas de Nárnia transcenderam o gênero da fantasia 'para se tornar parte do cânone da literatura clássica. Casa um dos sete livros é uma obra-prima, atraindo o leitor para um mundo em que a magia encontra a realidade, e o resultado é um mundo ficcional que tem fascinado gerações. Esta edição apresenta todas as sete crônicas integralmente, num único volume magnífico. Os livros são apresentados de acordo com a ordem de preferência de Lewis, cada capítulo com uma ilustração do artista original, Pauline Baynes. Enganosamente simples e direta, As crônicas de Nárnia continuam cativando os leitores com aventuras, personagens e fatos que falam a pessoas de todas as idades, mesmo cinqüenta anos após terem sido publicadas pela primeira vez.",https://www.travessa.com.br/as-cronicas-de-narnia-volume-unico-1-ed-2005/artigo/bb80b552-7095-4601-bb0e-38cf8178a697
As palavras voam,NA,9788526018846,NA,Português,Brochura,"13,5 x 24",144,NA,2013,2013,2ª,NA,NA,Cecilia Meireles,Global,Poesia Brasileira,"Composta por 55 poemas, esta obra foi organizada por Bartolomeu Campos de Queirós, poeta e escritor que, como ela, sabia ver beleza na simplicidade e dedicou sua arte aos pequenos e aos nem tão pequenos assim. A seleção de Bartolomeu nos revela a poeta que fala das coisas mais profundas e bonitas da essência humana. Com olhar leve e sincero, Cecília nos ensina a encarar o mundo de frente, um lugar em que não existem apenas flores e passarinhos, mas também lágrimas, noite e escuridão, sem nunca perder a ternura. “Nenhum aspecto a que está sujeita a alma, desde as incertezas até as provisórias verdades, ficou esquecido em sua obra”, diz Bartolomeu na apresentação do livro.As palavras de Cecília Meireles voam e alcançam a todos, independente da idade e da cidade. E, ao final deste livro, vemos tudo com outros olhos, mais maduros e mais sensíveis, capazes de aproveitar a maravilha das pequenas coisas da vida.",https://www.travessa.com.br/as-palavras-voam-2-ed-2013/artigo/75644f88-a031-487e-adae-e2f3fcec5a7b
Balada da estrela e outros poemas,NA,9788593234057,NA,Português,Capa dura,"21,7 x 31,2 x 0,8",56,NA,2019,2019,1ª,NA,NA,Gabriela Mistral,Olho de Vidro,Infantil,"A chilena Gabriela Mistral foi a primeira personalidade da América Latina a conquistar o Nobel de Literatura. Em 1945, ela recebeu a notícia da premiação aqui no Brasil, na cidade de Petrópolis, onde então morava. Este conjunto de poemas oferece aos pequenos leitores brasileiros um primeiro encontro com a sua literatura, há muito tempo ausente das nossas livrarias. Uma poesia musical, cheia de ternura, cheia de vida.",https://www.travessa.com.br/balada-da-estrela-e-outros-poemas-1-ed-2019/artigo/684c19cd-977c-489f-b382-c721bcaec090
Box harry potter tradicional,NA,9786555320473,Fantasia,Português,Brochura,"18 x 21,5 x 13,8",3068,NA,2020,NA,1ª,NA,NA,J. K. Rowling,Rocco,Juvenil,"Esse box especial e inédito é feito para você que gosta das capas tradicionais de Harry Potter. Os sete livros da saga do bruxo mais querido do mundo reunidos num box rígido, com capas em brochura, projeto gráfico baseado nas ilustrações originais de Mary GrandPré e miolo em papel offwhite, o “amarelinho”.A vida do menino Harry Potter não tem um pingo de magia. Ele vive com os tios e o primo, que não gostam nem um pouco dele. O quarto de Harry é, na verdade, um armário sob a escada, e ele nunca comemorou um aniversário sequer em onze anos. Até que, um dia, Harry recebe uma carta misteriosa, entregue por uma coruja: um convite para estudar num lugar incrível chamado Escola de Magia e Bruxaria Hogwarts. Lá ele vai encontrar não só amigos, esportes praticados em vassouras voadoras e magia para todo lado, como também seu destino: ser um aprendiz de feiticeiro até o dia em que terá que enfrentar a pior força do mal, o bruxo que assassinou seus pais. Mas, para isso, Harry precisará passar por uma série de desafios e enfrentar inúmeros perigos. Em sete livros que se tornaram o maior fenômeno editorial de todos os tempos, com mais de 450 milhões de exemplares vendidos e traduções em 78 idiomas, Harry Potter não é exposto apenas a batalhas e feitiços. Ele precisa superar traições, surpresas e, sobretudo, aprender a lidar com os próprios sentimentos. O amor, a amizade e claro, uma boa dose de magia e imaginação, são os elementos-chave para da maior saga bruxa de todos os tempos.",https://www.travessa.com.br/box-harry-potter-tradicional-1-ed-2020/artigo/2d8a8668-25e0-4acc-8238-eeba61bf2919
